Ability,ID,UnitName,Description,Type,School,Categories,Mechanic,Condition,SpellTier,SourceTier,SourceLevel,IsVBlood,BaseCooldown,BaseCastTime,Magic,Unarmed,Sword,GreatSword,Axe,Mace,DualHammers,Spear,Daggers,Crossbow,Longbow,Pistols,Reaper,Whip,Claws,Pollaxe,Slashers,TwinBlades,Wolf,Bear,Rat,Spider,Toad,Werewolf,Gargoyle,Mounted,Enabled,Cooldown,Range,Charges,ChargeTime,AoE,ProjSpeed,LeapHeight,Duration,Healing,DamageScale,CooldownScale,ForceTimeout,PowerWindow,SummonCap,SummonTimeout,SummonUnits,CastSpeed,FreelyMove,InterruptOnHit,TransformOnly,Crash/Issue,Notes
A Thousand Spears,377778793,,"Perform a multi-stab attack, dealing {stabdamage} physical damage and interrupting enemy actions over {duration}s. Recast during the effect to perform a thrust attack dealing {thrustdamage} physical damage and knocking enemies back.",Secondary,,Other,Projectile,Aimed,,,,,8,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Activate,-876908134,,,,,Other,,,,,,,0.1,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aerial Whip Twirl,1420346034,,"Leap towards the cursor and swing your whip around you dealing {damage} physical damage, knocking enemies back and inflicting a {duration}s fading snare.",Secondary,,Other,Movement,CloseRange,,,,,10,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aftershock,1575317901,,"Smash the ground, causing a shockwave that erupts, dealing {damage} magic damage in a line and inflicting Ignite.",Offensive,Chaos,Chaos; Offensive,AoE; Projectile,Aimed,Tier1,,,,9,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apply Weapon Coating,1327173823,,"Can be consumed to gain a small amount of blood, alters your blood type to frailed.",,,,,,,,,,0.5,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apply Weapon Coating Blood,-1007451621,,"Can be consumed to gain a small amount of blood, alters your blood type to frailed.",,Blood,,,,,,,,0.5,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apply Weapon Coating Chaos,-1706926836,,"Can be consumed to gain a small amount of blood, alters your blood type to frailed.",,Chaos,,,,,,,,0.5,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apply Weapon Coating Frost,2110406288,,"Can be consumed to gain a small amount of blood, alters your blood type to frailed.",,Frost,,,,,,,,0.5,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apply Weapon Coating Illusion,-1063090297,,"Can be consumed to gain a small amount of blood, alters your blood type to frailed.",,Illusion,,,,,,,,0.5,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apply Weapon Coating Storm,419215380,,"Can be consumed to gain a small amount of blood, alters your blood type to frailed.",,Storm,,,,,,,,0.5,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apply Weapon Coating Unholy,1293762372,,"Can be consumed to gain a small amount of blood, alters your blood type to frailed.",,Unholy,,,,,,,,0.5,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arch Mage Emote Aggro,-139137314,,,,,,,,,,,,1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B1 audit: emote — evaluate in-game for player usability (players want more emotes); keep if functional
Arctic Leap,1966330719,,"Leap into the air and strike down at target location, dealing {damage} magic damage. A nova of frost erupts from the impact location that Freezes any enemy hit for up to {duration}s. Enemy vampires are frozen for {vampireduration}s.",Ultimate,Frost,Frost; Ultimate,Movement,Movement,Tier3,,,,120,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Army of the Dead,-1781779733,,Inflict Condemn on nearby enemies and summon an army of {amount} skeleton warriors and {amount2} skeleton mages around you. Skeletons last for up to {lifetime}s.,Ultimate,Unholy,Unholy; Ultimate,Summon,Summon,Tier3,,,,120,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Attaque principale,-1754787506,,Perform a combo of melee attacks dealing {damage1}/{damage2}/{damage3} physical damage.,Movement,,Other,Movement,Movement,,,,,0,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Awake,1639668286,,,Movement,,Other,Movement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Awake,-1492032516,,,Movement,,Other,Movement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ball Lightning,-440373841,,"Launch a Ball Lightning that lingers in place, periodically shocking a nearby enemy inflicting Static. Deals up to {damage} magic damage per target over {duration}s. Ball Lightning's total damage cannot exceed {multtargetdamage} magic damage. Explodes after the duration dealing {areadamage} magic damage in the area.",,Storm,Other,,CloseRange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ball Lightning,1249925269,,"Launch a Ball Lightning that lingers in place, periodically shocking a nearby enemy inflicting Static. Deals up to {damage} magic damage per target over {duration}s. Ball Lightning's total damage cannot exceed {multtargetdamage} magic damage. Explodes after the duration dealing {areadamage} magic damage in the area.",Offensive,Storm,Storm; Offensive,Projectile,Aimed,Tier1,,,,9,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barrel Roll,-1176933244,,"Perform a barrel roll in target direction. Rolling into an enemy stuns it for {minduration}s - {maxduration}s, distance travelled increases stun duration. Taking any damage breaks the effect.",Movement,,Other,Movement,CloseRange,,,,,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bat Form,576026408,,Turn into a bat and fly high into the air allowing you to cross impassable terrain. Cannot be used while carrying resources or while indoors. Beware of the sun!,,,Other,,,,,,,0.5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bat Form,-104327922,,Turn into a bat and fly high into the air allowing you to cross impassable terrain. Cannot be used while carrying resources or while indoors. Beware of the sun!,Movement,Shapeshift,Shapeshift,Movement,,,,,,0.5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bear Corrupted Area Attack,-1756745786,,Perform a combo of melee attacks dealing {damage1}/{damage2}/{damage3} physical damage.,,,,,CloseRange,,,,,6,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bear Corrupted Corruption Attack,369886705,,,AoE,,AoE,AoE,,,,,,0.85,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bear Dire On Aggro Emote,-1155840114,,,,,,,,,,,,0.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B1 audit: emote — evaluate in-game for player usability (players want more emotes); keep if functional
Bear Dire Target Switch,-1748125028,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tester v0.100: NOT-USABLE
Bear Form,341866865,,"Turn into a powerful creature able to destroy massive resources. Increases your resistances by 25, movement speed by %15 and reduces damage taken by %15. You regenerate health slightly quicker while in this form.",,Shapeshift,Shapeshift,,,,,,,0.5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bear On Aggro,-1241654227,,,,,,,,,,,,1,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
