guid,name,groupPrefab,category,condition,conditionModifiers,conditionSource,incompatible,enabled,reviewStatus,reviewTag,usability,weapons,forms,sourceUnit,hasRuleEntry,notes
1583944483,Caminhada de Névoa,AB_Undead_BishopOfShadows_EternalDarkness_AbilityGroup,Other,CloseRange,Channel,auto,yes,,Unreviewed,,Broken,,,Alma de Sangue Primordial,,
-1623080868,Militia Fabian Mountup,AB_Militia_Fabian_Mountup_AbilityGroup,,,,,,no,Blocked,,Broken,,,,yes,Server-crash + persistent corruption on capture/use (Sir Erwin 'Mountup'). Disabled in the shipped default; also hard-blocked in code.
1325722355,Mist Walk,AB_Undead_BishopOfShadows_ShadowStep_AbilityGroup,Other,Summon,,auto,yes,,Unreviewed,,Broken,,,Primal Blood Soul,,
-1125894381,Mist Walk,AB_Undead_Priest_Elite_Teleport_Travel_AbilityGroup,Other,Movement,,auto,yes,,Unreviewed,,Broken,,,Nicholaus the Fallen,,
-22490832,Mist Walk,AB_Undead_ShadowSoldier_GateBoss_ShadowStep_AbilityGroup,Other,,,,yes,,Unreviewed,,Broken,,,,,
-664569083,Undead Infiltrator Shadow Step,AB_Undead_Infiltrator_ShadowStep_AbilityGroup,Other,,,,yes,,Unreviewed,,Broken,,,Primal Blood Soul,,
1520734123,Arch Mage Crystal Lance,AB_ArchMage_CrystalLance_AbilityGroup,Other,Aimed,Combo,auto,,,Unreviewed,,Combo,,,Mairwyn the Elementalist,,
516384057,Blackfang Alchemist Throw,AB_Blackfang_Alchemist_Throw_AbilityGroup,,Aimed,Combo,auto,,,Unreviewed,,Combo,,,,,
1846642290,Blackfang Alchemist Throw Servant,AB_Blackfang_Alchemist_Throw_Servant_AbilityGroup,,Aimed,Combo,auto,,,Unreviewed,,Combo,,,,,
2102431676,Blackfang Carver Boss Mega Cleave,AB_Blackfang_CarverBoss_MegaCleave_AbilityGroup,,CloseRange,Combo,auto,,,Unreviewed,,Combo,,,,,
-1457510412,Blackfang Carver Boss Wild Swings,AB_Blackfang_CarverBoss_WildSwings_AbilityGroup,,CloseRange,Combo,auto,,,Unreviewed,,Combo,,,,,
-1167502816,Blackfang Dartflinger Fling,AB_Blackfang_Dartflinger_Fling_AbilityGroup,,Aimed,Combo,auto,,,Unreviewed,,Combo,,,,,
-315621824,Blackfang Livith Cutting Wind,AB_Blackfang_Livith_CuttingWind_AbilityGroup,,Aimed,Combo,auto,,,Unreviewed,,Combo,,,,,
1115417829,Blackfang Lurker Melee,AB_Blackfang_Lurker_Melee_AbilityGroup,,CloseRange,Combo,auto,,,Unreviewed,,Combo,,,,,
2099754785,Blackfang Morgana Spectral Beam,AB_Blackfang_Morgana_SpectralBeam_AbilityGroup,,Aimed,Combo,auto,,,Unreviewed,,Combo,,,,,
-1241930020,Blackfang Morgana Spectral Beam Emerge,AB_Blackfang_Morgana_SpectralBeamEmerge_AbilityGroup,,Aimed,Combo,auto,,,Unreviewed,,Combo,,,,,
-1859321594,Blackfang Morganas Tail Stinger,AB_Blackfang_MorganasTail_Stinger_AbilityGroup,,Aimed,Combo,auto,,,Unreviewed,,Combo,,,,,
1126476370,Blackfang Striker Smash,AB_Blackfang_Striker_Smash_AbilityGroup,,CloseRange,Combo,auto,,,Unreviewed,,Combo,,,,,
-9078612,Blackfang Valyr Phase Dual Seismic Jump,AB_Blackfang_Valyr_PhaseDual_SeismicJump_AbilityGroup,,Aimed,Combo,auto,,,Unreviewed,,Combo,,,,,
323806214,Blackfang Venomblade Melee,AB_Blackfang_Venomblade_Melee_AbilityGroup,,CloseRange,Combo,auto,,,Unreviewed,,Combo,,,,,
940071564,Blackfang Venomblade Venomstrike,AB_Blackfang_Venomblade_Venomstrike_AbilityGroup,,CloseRange,Combo,auto,,,Unreviewed,,Combo,,,,,
1074626555,Blackfang Wood Carver Melee,AB_Blackfang_WoodCarver_Melee_AbilityGroup,,CloseRange,Combo,auto,,,Unreviewed,,Combo,,,,,
874909393,Castle Man Tripple Spinning Cross,AB_CastleMan_TrippleSpinningCross_AbilityGroup,Other,CloseRange,Combo|Channel,auto,,,Unreviewed,,Combo,,,Simon Belmont the Vampire Hunter,,
-1081890077,Gloomrot Spider Tank Zapper Rapid Shot,AB_Gloomrot_SpiderTank_Zapper_RapidShot_AbilityGroup,Other,Aimed,Combo|Channel,auto,,,Unreviewed,,Combo,,,Zapper,,
-645101263,Gold Golem Enrage Fist Slam,AB_GoldGolem_Enrage_FistSlam_AbilityGroup,,CloseRange,Combo,auto,,,Unreviewed,,Combo,,,,,
2053056011,Lucie Toxin Bolt,AB_Lucie_ToxinBolt_AbilityGroup,,Aimed,Combo,auto,,,Unreviewed,,Combo,,,,,
1033948100,Man Trap Corrupted Tripple Projectile,AB_ManTrap_CorruptedTrippleProjectile_AbilityGroup,,Aimed,Combo,auto,,,Unreviewed,,Combo,,,,,
-359326766,Man Trap Tripple Projectile,AB_ManTrap_TrippleProjectile_Group,Other,Aimed,Combo,auto,,,Unreviewed,,Combo,,,Mantrap,,
1631838527,Militia Fabian Lightning Orb,AB_Militia_Fabian_LightningOrb_AbilityGroup,,Aimed,Combo,auto,,,Unreviewed,,Combo,,,,,
-215712550,Militia Hound Dash Attack,AB_Militia_Hound_DashAttack_AbilityGroup,Other,CloseRange,Combo,auto,,,Unreviewed,,Combo,,,บรูตัส หมาเฝ้ายาม,,
1219885177,Militia Hound Master Quick Shot,AB_Militia_HoundMaster_QuickShot_AbilityGroup,Other,Aimed,Combo,auto,,,Unreviewed,,Combo,,,Boyo,,
-1104025162,Militia Scribe Quick Attack,AB_Militia_Scribe_QuickAttack_AbilityGroup,Other,Aimed,Combo|Channel,auto,,,Unreviewed,,Combo,,,Maja the Dark Savant,,
2019689688,Militia Scribe Razor Parchment,AB_Militia_Scribe_RazorParchment_AbilityGroup,Other,Aimed,Combo,auto,,,Unreviewed,,Combo,,,Maja the Dark Savant,,
1516349451,Primary Attack,AB_Bandit_Fisherman_SwingAttack_AbilityGroup,Other,CloseRange,Combo,auto,,,Unreviewed,,Combo,,,Finn the Fisherman,,
1400073690,Primary Attack,AB_Bandit_Trapper_MeleeAttack01_Group,Other,CloseRange,Combo,auto,,,Unreviewed,,Combo,,,Trapper,,
-1736553762,Primary Attack,AB_CastleMan_FlameWhip_AbilityGroup,Other,CloseRange,Combo,auto,,,Unreviewed,,Combo,,,Simon Belmont the Vampire Hunter,,
-499397494,Primary Attack,AB_CastleMan_Whip_AbilityGroup,Other,CloseRange,Combo,auto,,,Unreviewed,,Combo,,,Simon Belmont the Vampire Hunter,,
2108112601,Primary Attack,AB_ChurchOfLight_CardinalAide_Melee_AbilityGroup,Other,CloseRange,Combo,auto,,,Unreviewed,,Combo,,,Cardinal Aide,,
613355091,Primary Attack,AB_ChurchOfLight_Overseer_SwingAttack_AbilityGroup,Other,CloseRange,Combo,auto,,,Unreviewed,,Combo,,,Sir Magnus the Overseer,,
-947518364,Primary Attack,AB_ChurchOfLight_Paladin_EmpoweredMelee_AbilityGroup,Other,CloseRange,Combo,auto,,,Unreviewed,,Combo,,,,,
1673497547,Primary Attack,AB_ChurchOfLight_Paladin_Melee_AbilityGroup,Other,Aimed,Combo,auto,,,Unreviewed,,Combo,,,Solarus the Immaculate,,
-1771783202,Primary Attack,AB_Cursed_Mountainbeast_TrippleAttack_AbilityGroup,Other,CloseRange,Combo,auto,,,Unreviewed,,Combo,,,Gorecrusher the Behemoth,,
1221980502,Primary Attack,AB_Cursed_MountainBeast_WhackAVamp_AbilityGroup,Other,CloseRange,Combo,auto,,,Unreviewed,,Combo,,,Gorecrusher the Behemoth,,
1718898538,Primary Attack,AB_Cursed_ToadKing_DoubleTongueSlap_AbilityGroup,Other,CloseRange,Combo,auto,,,Unreviewed,,Combo,,,Albert the Duke of Balaton,,
-1691591896,Primary Attack,AB_HostileVillager_ClubAttack_AbilityGroup,Other,CloseRange,Combo,auto,,,Unreviewed,,Combo,,,Villager,,
664138263,Primary Attack,AB_HostileVillager_FryingPanAttack_AbilityGroup,Other,CloseRange,Combo,auto,,,Unreviewed,,Combo,,,Villager,,
2136688539,Primary Attack,AB_HostileVillager_TorchAttack_AbilityGroup,Other,CloseRange,Combo,auto,,,Unreviewed,,Combo,,,Villager,,
