guid,name,unit,tier,condition,modifiers,descriptor
377778793,A Thousand Spears,(no source unit),-,Aimed,,Aim at a target or direction — fires downrange
1420346034,Aerial Whip Twirl,(no source unit),-,CloseRange,,Needs enemies next to / in front of you
1575317901,Aftershock,(no source unit),-,Aimed,,Aim at a target or direction — fires downrange
1966330719,Arctic Leap,(no source unit),-,Movement,,Mobility / travel — no target needed
-809284772,Arctic Leap,(no source unit),-,Summon,Channel,Summons units/allies — no aim needed
-1781779733,Army of the Dead,(no source unit),-,Summon,,Summons units/allies — no aim needed
-1754787506,Attaque principale,(no source unit),-,Movement,Channel,Mobility / travel — no target needed
1249925269,Ball Lightning,(no source unit),-,Aimed,,Aim at a target or direction — fires downrange
-440373841,Ball Lightning,(no source unit),-,CloseRange,,Needs enemies next to / in front of you
-1176933244,Barrel Roll,(no source unit),-,CloseRange,,Needs enemies next to / in front of you
-1756745786,Bear Corrupted Area Attack,(no source unit),-,CloseRange,Channel,Needs enemies next to / in front of you
-1573201851,Blackfang Alchemist Roll,(no source unit),-,Movement,,Mobility / travel — no target needed
516384057,Blackfang Alchemist Throw,(no source unit),-,Aimed,Combo,Aim at a target or direction — fires downrange
1846642290,Blackfang Alchemist Throw Servant,(no source unit),-,Aimed,Combo,Aim at a target or direction — fires downrange
1798105602,Blackfang Carver Boss Body Slam,(no source unit),-,Aimed,,Aim at a target or direction — fires downrange
74226303,Blackfang Carver Boss Chop Chop,(no source unit),-,CloseRange,,Needs enemies next to / in front of you
-1796211602,Blackfang Carver Boss Chop Leap,(no source unit),-,Aimed,,Aim at a target or direction — fires downrange
964878669,Blackfang Carver Boss Coat Weapon,(no source unit),-,CloseRange,,Needs enemies next to / in front of you
1147924409,Blackfang Carver Boss Mega Chop Leap,(no source unit),-,Movement,,Mobility / travel — no target needed
2102431676,Blackfang Carver Boss Mega Cleave,(no source unit),-,CloseRange,Combo,Needs enemies next to / in front of you
-68142483,Blackfang Carver Boss Single Throw,(no source unit),-,Aimed,,Aim at a target or direction — fires downrange
-1592003626,Blackfang Carver Boss Summon Carvers,(no source unit),-,Summon,,Summons units/allies — no aim needed
1290253258,Blackfang Carver Boss Throw Corruption,(no source unit),-,CloseRange,Channel,Needs enemies next to / in front of you
-1808411682,Blackfang Carver Boss Ultra Mega Chop Leap,(no source unit),-,Movement,,Mobility / travel — no target needed
-1193077056,Blackfang Carver Boss Weapon Throw,(no source unit),-,Aimed,,Aim at a target or direction — fires downrange
1705726981,Blackfang Carver Boss Weapon Throw Intense,(no source unit),-,Aimed,,Aim at a target or direction — fires downrange
-1457510412,Blackfang Carver Boss Wild Swings,(no source unit),-,CloseRange,Combo,Needs enemies next to / in front of you
-1167502816,Blackfang Dartflinger Fling,(no source unit),-,Aimed,Combo,Aim at a target or direction — fires downrange
-941466362,Blackfang Livith Aggro Players,(no source unit),-,SelfCast,,Self/ally effect — works on press
-315621824,Blackfang Livith Cutting Wind,(no source unit),-,Aimed,Combo,Aim at a target or direction — fires downrange
1318543111,Blackfang Livith Dash,(no source unit),-,Movement,,Mobility / travel — no target needed
139802405,Blackfang Livith Melee Attack,(no source unit),-,CloseRange,Combo,Needs enemies next to / in front of you
-385314771,Blackfang Livith Round Kick,(no source unit),-,CloseRange,,Needs enemies next to / in front of you
168833229,Blackfang Livith Shadow Dance,(no source unit),-,Summon,,Summons units/allies — no aim needed
-407341422,Blackfang Livith Slicing Dash,(no source unit),-,Aimed,Channel,Aim at a target or direction — fires downrange
1261373899,Blackfang Livith Slicing Dash Single,(no source unit),-,Aimed,Channel,Aim at a target or direction — fires downrange
1920281924,Blackfang Livith Stealth,(no source unit),-,SelfCast,,Self/ally effect — works on press
-1372642162,Blackfang Livith Stealth Attack,(no source unit),-,CloseRange,,Needs enemies next to / in front of you
1115417829,Blackfang Lurker Melee,(no source unit),-,CloseRange,Combo,Needs enemies next to / in front of you
1298623256,Blackfang Morgana Corruption Fountain,(no source unit),-,CloseRange,,Needs enemies next to / in front of you
325438116,Blackfang Morgana Corruption Fountain Far,(no source unit),-,CloseRange,,Needs enemies next to / in front of you
846291757,Blackfang Morgana Cross Wind Slash,(no source unit),-,CloseRange,,Needs enemies next to / in front of you
-63677606,Blackfang Morgana Down Horizontal Slash Left,(no source unit),-,CloseRange,Channel,Needs enemies next to / in front of you
-1736482208,Blackfang Morgana Down Horizontal Slash Right,(no source unit),-,CloseRange,Channel,Needs enemies next to / in front of you
734658196,Blackfang Morgana Eye Of The Corruption Setup,(no source unit),-,CloseRange,Channel,Needs enemies next to / in front of you
-668068170,Blackfang Morgana Ground Piercer,(no source unit),-,Aimed,,Aim at a target or direction — fires downrange
1684080967,Blackfang Morgana Looming Mists Combat Tag,(no source unit),-,Summon,,Summons units/allies — no aim needed
2134120100,Blackfang Morgana Melee Attack,(no source unit),-,CloseRange,Channel,Needs enemies next to / in front of you
2099754785,Blackfang Morgana Spectral Beam,(no source unit),-,Aimed,Combo,Aim at a target or direction — fires downrange
-1241930020,Blackfang Morgana Spectral Beam Emerge,(no source unit),-,Aimed,Combo,Aim at a target or direction — fires downrange
898624706,Blackfang Morgana Spectral Beam Slow,(no source unit),-,Aimed,,Aim at a target or direction — fires downrange
1173842428,Blackfang Morgana Spectral Blast,(no source unit),-,CloseRange,Channel,Needs enemies next to / in front of you
-1681336728,Blackfang Morgana Spectral Blast Humanoid,(no source unit),-,CloseRange,,Needs enemies next to / in front of you
1185642044,Blackfang Morgana Spectral Hell,(no source unit),-,Aimed,,Aim at a target or direction — fires downrange
-135866689,Blackfang Morgana Spectral Hell Far,(no source unit),-,Aimed,,Aim at a target or direction — fires downrange
1680946425,Blackfang Morgana Summon Corrupted Vines,(no source unit),-,Summon,Channel,Summons units/allies — no aim needed
-195933675,Blackfang Morgana Summon Tail,(no source unit),-,Summon,,Summons units/allies — no aim needed
-690426342,Blackfang Morgana Transformation,(no source unit),-,CloseRange,Channel,Needs enemies next to / in front of you
-918633640,Blackfang Morgana Travel To Position,(no source unit),-,Movement,,Mobility / travel — no target needed
1673956324,Blackfang Morgana Travel To Position Emerge,(no source unit),-,Movement,Channel,Mobility / travel — no target needed
1059128,Blackfang Morgana Travel To Position Hidden,(no source unit),-,Movement,,Mobility / travel — no target needed
-1980019894,Blackfang Morgana Travel To Position Swarm,(no source unit),-,Movement,Channel,Mobility / travel — no target needed
